x,y,z,real,imag
1.0402228546142578e-01,4.5246410369873050e-02,-1.4695858764648437e-01,8.5335530278602678e-01,9.2950242395789018e-01
9.7907516479492182e-02,4.9624610900878906e-02,-1.4676724243164063e-01,9.1300301188059729e-01,1.1616308918225360e+00
1.0691603851318360e-01,6.0176795959472659e-02,-1.4669958496093749e-01,1.0969795177243604e+00,1.5617451746722613e+00
1.1275038146972656e-01,6.5645736694335932e-02,-1.4647351074218751e-01,1.1985235140880415e+00,1.7465477962157039e+00
1.0623529052734375e-01,6.8871086120605468e-02,-1.4657566833496094e-01,1.2216608148870274e+00,1.8507419588609717e+00
1.1297114562988281e-01,7.3478187561035163e-02,-1.4642932128906250e-01,1.3145926929332403e+00,1.9592142276392615e+00
1.1828494262695312e-01,7.9333045959472659e-02,-1.4662461853027345e-01,1.4118682186548650e+00,2.0583367551956733e+00
1.1055999755859375e-01,8.1932533264160154e-02,-1.4646282958984375e-01,1.4157402449249272e+00,2.1518233576999526e+00
1.7137559890747070e-02,-4.6262828826904294e-02,-1.1540002441406250e-01,2.4622664044732356e-01,3.5637741340344053e-01
2.4880243301391602e-02,-4.5971763610839843e-02,-1.1539997863769531e-01,2.3134747463746441e-01,1.7120116803912699e-01
2.1440959930419921e-02,-3.9501117706298827e-02,-1.1539990997314453e-01,2.7638434573078563e-01,3.9128221741515334e-01
-6.0746719360351566e-02,8.4934089660644529e-02,-1.9955967712402345e-01,2.0651076689079826e+00,3.2468690692059248e+00
-6.6475311279296873e-02,8.1786636352539063e-02,-2.0064086914062501e-01,2.0331219628218125e+00,3.3786668579929029e+00
-6.7684425354003902e-02,8.8126983642578122e-02,-2.0370639038085939e-01,2.0437852945652830e+00,3.4154802150402555e+00
-1.2545224761962889e-01,5.2099464416503906e-02,-2.0517959594726562e-01,1.5812733052435650e+00,3.9733694022796784e+00
-1.3088452148437499e-01,4.9495700836181641e-02,-2.0316958618164063e-01,1.5385355253872006e+00,3.9899690732684467e+00
-1.3009356689453125e-01,5.7538799285888668e-02,-2.0235266113281250e-01,1.5912670059433847e+00,4.0413161256915053e+00
-1.4626263427734376e-01,3.2804569244384768e-02,-1.9215382385253907e-01,1.3488205371467965e+00,3.9337797642348922e+00
-1.4909446716308594e-01,2.6665666580200195e-02,-1.8800514221191406e-01,1.2888451621404999e+00,3.8900169405198159e+00
-1.4935548400878906e-01,3.5256141662597655e-02,-1.8436834716796874e-01,1.3402503201898239e+00,3.9897288231907573e+00
-1.3638789367675780e-01,4.5867733001708981e-02,-2.0007630920410155e-01,1.4877457309600299e+00,3.9963923225023454e+00
-1.4069047546386718e-01,4.1491134643554688e-02,-1.9725347900390625e-01,1.4372895317466594e+00,3.9836665426388538e+00
